"RGN";"name";"CN";"longitude";"latitude"
"RUS";"Russia";"RUS";105,318756;61,52401
"NAM";"Canada";"CAN";-106,346771;56,130366
"NAM";"Mexico";"MEX";-102,552784;23,634501
"NAM";"United States";"USA";-95,712891;37,09024
"SAM";"Argentina";"ARG";-63,616672;-38,416097
"SAM";"Bolivia";"BOL";-63,588653;-16,290154
"SAM";"Brazil";"BRA";-51,92528;-14,235004
"SAM";"Chile";"CHL";-71,542969;-35,675147
"SAM";"Colombia";"COL";-74,297333;4,570868
"SAM";"Ecuador";"ECU";-78,183406;-1,831239
"SAM";"Peru";"PER";-75,015152;-9,189967
"SAM";"Trinidad and Tobago";"TTO";-61,222503;10,691803
"SAM";"Venezuela";"VEN";-66,58973;6,42375
"EU";"Austria";"AUT";14,550072;47,516231
"EU";"Belgium";"BEL";4,469936;50,503887
"EU";"Bulgaria";"BGR";25,48583;42,733883
"EU";"Cyprus";"CYP";33,429859;35,126413
"EU";"Czech Republic";"CZE";15,472962;49,817492
"EU";"Germany";"DEU";10,451526;51,165691
"EU";"Denmark";"DNK";9,501785;56,26392
"EU";"Spain";"ESP";-3,74922;40,463667
"EU";"Estonia";"EST";25,013607;58,595272
"EU";"Finland";"FIN";25,748151;61,92411
"EU";"France";"FRA";2,213749;46,227638
"EU";"United Kingdom";"GBR";-3,435973;55,378051
"EU";"Greece";"GRC";21,824312;39,074208
"EU";"Croatia";"HRV";15,2;45,1
"EU";"Hungary";"HUN";19,503304;47,162494
"EU";"Ireland";"IRL";-8,24389;53,41291
"EU";"Italy";"ITA";12,56738;41,87194
"EU";"Lithuania";"LTU";23,881275;55,169438
"EU";"Latvia";"LVA";24,603189;56,879635
"EU";"Netherlands";"NLD";5,291266;52,132633
"EU";"Poland";"POL";19,145136;51,919438
"EU";"Portugal";"PRT";-8,224454;39,399872
"EU";"Romania";"ROM";24,96676;45,943161
"EU";"Slovakia";"SVK";19,699024;48,669026
"EU";"Slovenia";"SVN";14,995463;46,151241
"EU";"Sweden";"SWE";18,643501;60,128161
"ROE";"Albania";"ALB";20,168331;41,153332
"ROE";"Belarus";"BLR";27,953389;53,709807
"ROE";"Switzerland";"CHE";8,227512;46,818188
"ROE";"Norway";"NOR";8,468946;60,472024
"ROE";"Serbia";"SRB";21,005859;44,016521
"ROE";"Turkey";"TUR";35,243322;38,963745
"ROE";"Ukraine";"UKR";31,16558;48,379433
"CAS";"Azerbaijan";"AZE";47,576927;40,143105
"CAS";"Kazakhstan";"KAZ";66,923684;48,019573
"CAS";"Turkmenistan";"TKM";59,556278;38,969719
"CAS";"Uzbekistan";"UZB";64,585262;41,377491
"MEA";"United Arab Emirates";"ARE";53,847818;23,424076
"MEA";"Bahrain";"BHR";50,637772;25,930414
"MEA";"Iran";"IRN";53,688046;32,427908
"MEA";"Iraq";"IRQ";43,679291;33,223191
"MEA";"Israel";"ISR";34,851612;31,046051
"MEA";"Kuwait";"KWT";47,481766;29,31166
"MEA";"Oman";"OMN";55,923255;21,512583
"MEA";"Qatar";"QAT";51,183884;25,354826
"MEA";"Saudi Arabia";"SAU";45,079162;23,885942
"MEA";"Syria";"SYR";38,996815;34,802075
"MEA";"Yemen";"YEM";48,516388;15,552727
"AFR";"Angola";"AGO";17,873887;-11,202692
"AFR";"Congo [Republic]";"COG";15,827659;-0,228021
"AFR";"Algeria";"DZA";1,659626;28,033886
"AFR";"Egypt";"EGY";30,802498;26,820553
"AFR";"Equatorial Guinea";"GNQ";10,267895;1,650801
"AFR";"Libya";"LBY";17,228331;26,3351
"AFR";"Mozambique";"MOZ";35,529562;-18,665695
"AFR";"Nigeria";"NGA";8,675277;9,081999
"AFR";"Tunisia";"TUN";9,537499;33,886917
"AFR";"Tanzania";"TZA";34,888822;-6,369028
"AFR";"South Africa";"ZAF";22,937506;-30,559482
"ASP";"Australia";"AUS";133,775136;-25,274398
"ASP";"Bangladesh";"BGD";90,356331;23,684994
"ASP";"Brunei";"BRN";114,727669;4,535277
"ASP";"China";"CHN";104,195397;35,86166
"ASP";"Indonesia";"IDN";113,921327;-0,789275
"ASP";"India";"IND";78,96288;20,593684
"ASP";"Japan";"JPN";138,252924;36,204824
"ASP";"South Korea";"KOR";127,766922;35,907757
"ASP";"Myanmar [Burma]";"MMR";95,956223;21,913965
"ASP";"Malaysia";"MYS";101,975766;4,210484
"ASP";"New Zealand";"NZL";174,885971;-40,900557
"ASP";"Pakistan";"PAK";69,345116;30,375321
"ASP";"Philippines";"PHL";121,774017;12,879721
"ASP";"Papua New Guinea";"PNG";143,95555;-6,314993
"ASP";"Singapore";"SGP";103,819836;1,352083
"ASP";"Thailand";"THA";100,992541;15,870032
"ASP";"Taiwan";"TWN";120,960515;23,69781
"ASP";"Vietnam";"VNM";108,277199;14,058324
"LIQ";"Canada";"CAN";-106,346771;56,130366
"LIQ";"United States";"USA";-95,712891;37,09024
"LIQ";"Peru";"PER";-75,015152;-9,189967
"LIQ";"Trinidad and Tobago";"TTO";-61,222503;10,691803
"LIQ";"Cyprus";"CYP";33,429859;35,126413
"LIQ";"Norway";"NOR";8,468946;60,472024
"LIQ";"Russia";"RUS";105,318756;61,52401
"LIQ";"United Arab Emirates";"ARE";53,847818;23,424076
"LIQ";"Iran";"IRN";53,688046;32,427908
"LIQ";"Oman";"OMN";55,923255;21,512583
"LIQ";"Qatar";"QAT";51,183884;25,354826
"LIQ";"Yemen";"YEM";48,516388;15,552727
"LIQ";"Angola";"AGO";17,873887;-11,202692
"LIQ";"Algeria";"DZA";1,659626;28,033886
"LIQ";"Egypt";"EGY";30,802498;26,820553
"LIQ";"Equatorial Guinea";"GNQ";10,267895;1,650801
"LIQ";"Libya";"LBY";17,228331;26,3351
"LIQ";"Mozambique";"MOZ";35,529562;-18,665695
"LIQ";"Nigeria";"NGA";8,675277;9,081999
"LIQ";"Tanzania";"TZA";34,888822;-6,369028
"LIQ";"Australia";"AUS";133,775136;-25,274398
"LIQ";"Brunei";"BRN";114,727669;4,535277
"LIQ";"Indonesia";"IDN";113,921327;-0,789275
"LIQ";"Malaysia";"MYS";101,975766;4,210484
"LIQ";"Papua New Guinea";"PNG";143,95555;-6,314993
"REG";"Canada";"CAN";-106,346771;56,130366
"REG";"Mexico";"MEX";-102,552784;23,634501
"REG";"United States";"USA";-95,712891;37,09024
"REG";"Argentina";"ARG";-63,616672;-38,416097
"REG";"Brazil";"BRA";-51,92528;-14,235004
"REG";"Chile";"CHL";-71,542969;-35,675147
"REG";"Colombia";"COL";-74,297333;4,570868
"REG";"Belgium";"BEL";4,469936;50,503887
"REG";"Germany";"DEU";10,451526;51,165691
"REG";"Spain";"ESP";-3,74922;40,463667
"REG";"Estonia";"EST";25,013607;58,595272
"REG";"Finland";"FIN";25,748151;61,92411
"REG";"France";"FRA";2,213749;46,227638
"REG";"United Kingdom";"GBR";-3,435973;55,378051
"REG";"Greece";"GRC";21,824312;39,074208
"REG";"Croatia";"HRV";15,2;45,1
"REG";"Ireland";"IRL";-8,24389;53,41291
"REG";"Italy";"ITA";12,56738;41,87194
"REG";"Lithuania";"LTU";23,881275;55,169438
"REG";"Netherlands";"NLD";5,291266;52,132633
"REG";"Poland";"POL";19,145136;51,919438
"REG";"Portugal";"PRT";-8,224454;39,399872
"REG";"Sweden";"SWE";18,643501;60,128161
"REG";"Norway";"NOR";8,468946;60,472024
"REG";"Turkey";"TUR";35,243322;38,963745
"REG";"Ukraine";"UKR";31,16558;48,379433
"REG";"United Arab Emirates";"ARE";53,847818;23,424076
"REG";"Bahrain";"BHR";50,637772;25,930414
"REG";"Israel";"ISR";34,851612;31,046051
"REG";"Kuwait";"KWT";47,481766;29,31166
"REG";"Egypt";"EGY";30,802498;26,820553
"REG";"Bangladesh";"BGD";90,356331;23,684994
"REG";"China";"CHN";104,195397;35,86166
"REG";"Indonesia";"IDN";113,921327;-0,789275
"REG";"India";"IND";78,96288;20,593684
"REG";"Japan";"JPN";138,252924;36,204824
"REG";"South Korea";"KOR";127,766922;35,907757
"REG";"Malaysia";"MYS";101,975766;4,210484
"REG";"Pakistan";"PAK";69,345116;30,375321
"REG";"Philippines";"PHL";121,774017;12,879721
"REG";"Singapore";"SGP";103,819836;1,352083
"REG";"Thailand";"THA";100,992541;15,870032
"REG";"Taiwan";"TWN";120,960515;23,69781
"REG";"Vietnam";"VNM";108,277199;14,058324
