,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,NOR,NOR,NAM,CAN,7.83849E-10,3.91356E-09,4.61238E-09,5.7914E-09,9.58044E-09,1.10245E-08,1.21707E-08,1.52422E-08
NPS-Ref,NOR,NOR,NAM,MEX,8.06125E-10,3.34562E-09,4.09127E-09,8.70082E-09,9.75583E-09,1.12007E-08,1.51711E-08,1.69154E-08
NPS-Ref,NOR,NOR,NAM,USA,2.76635E-09,1.66231E-08,2.32537E-08,3.84126E-08,4.96304E-08,6.12749E-08,7.13746E-08,7.85854E-08
NPS-Ref,NOR,NOR,SAM,ARG,1.1535E-08,1.06668E-08,1.17737E-08,1.36364E-08,1.05182E-08,1.19892E-08,1.53646E-08,1.94196E-08
NPS-Ref,NOR,NOR,SAM,BRA,1.47252E-08,1.45131E-08,1.83095E-08,1.39239E-08,1.53511E-08,1.80727E-08,2.26576E-08,2.62448E-08
NPS-Ref,NOR,NOR,SAM,CHL,8.25762E-08,2.84086E-08,3.40137E-08,4.38296E-08,3.7435E-08,4.03583E-08,4.07544E-08,4.35246E-08
NPS-Ref,NOR,NOR,SAM,COL,,4.64104E-09,1.02199E-08,1.9278E-08,2.75867E-08,3.5841E-08,5.22887E-08,7.28897E-08
NPS-Ref,NOR,NOR,SAM,TTO,,,7.33676E-10,2.13564E-09,2.52937E-09,3.08778E-09,6.16384E-09,8.04591E-09
NPS-Ref,NOR,NOR,SAM,VEN,,4.5501E-09,1.00127E-08,1.81064E-08,2.55563E-08,3.3186E-08,4.72904E-08,6.62695E-08
NPS-Ref,NOR,NOR,EU,AUT,1.935676166,2.669090478,2.158541124,1.346240489,1.476371383,1.566127544,0.662254633,0.159673666
NPS-Ref,NOR,NOR,EU,BEL,5.253365827,4.547053229,6.379592874,7.084888365,7.392056461,7.5189325,7.804007145,8.615374686
NPS-Ref,NOR,NOR,EU,BGR,0.055522473,2.06388E-08,1.66219E-08,2.08566E-08,2.46046E-08,2.96671E-08,3.6801E-08,3.96113E-08
NPS-Ref,NOR,NOR,EU,CZE,1.774779116,2.794630223,2.315400793,1.406896001,1.11374623,1.123028866,0.885893546,0.422496201
NPS-Ref,NOR,NOR,EU,DEU,28.28023792,24.4887964,26.85072654,24.48689698,23.20300524,22.38113263,21.27738148,17.7808687
NPS-Ref,NOR,NOR,EU,DNK,0.58066186,0.50649616,0.430805145,0.548037215,0.509713482,0.480679356,0.624998708,0.54084457
NPS-Ref,NOR,NOR,EU,ESP,1.598610927,0.711807296,2.38563E-07,1.74667E-07,2.27238E-07,2.53908E-07,3.33082E-07,3.82463E-07
NPS-Ref,NOR,NOR,EU,EST,0.02440134,6.13702E-08,2.78168E-08,4.161E-08,4.43161E-08,4.70728E-08,3.93786E-08,3.71719E-08
NPS-Ref,NOR,NOR,EU,FIN,,1.28296E-07,6.72975E-08,1.03811E-07,1.16151E-07,1.4014E-07,1.63957E-07,1.89087E-07
NPS-Ref,NOR,NOR,EU,FRA,13.14518863,8.666721994,7.295333497,10.81222971,10.76020629,10.36491399,11.05324253,11.07396397
