,,,,,2015,2020,2025,2030,2035,2040,2045,2050
SDS-Vision,NOR,NOR,NAM,CAN,8.34988E-10,5.24599E-09,1.13806E-08,1.23332E-08,1.4878E-08,2.06325E-08,2.1677E-08,2.20225E-08
SDS-Vision,NOR,NOR,NAM,MEX,8.58644E-10,6.36648E-09,1.46551E-08,1.44744E-08,1.66226E-08,2.31885E-08,2.47321E-08,2.92479E-08
SDS-Vision,NOR,NOR,NAM,USA,4.2385E-09,2.98184E-08,7.21308E-08,7.24914E-08,8.48648E-08,1.04095E-07,1.10081E-07,1.14355E-07
SDS-Vision,NOR,NOR,SAM,ARG,1.23415E-08,2.76069E-08,3.60556E-07,4.53583E-07,7.89166E-07,1.06727E-06,1.49658E-06,8.27872E-07
SDS-Vision,NOR,NOR,SAM,BRA,1.57321E-08,2.05452E-08,4.80866E-08,4.45791E-08,1.71139E-07,5.3559E-07,3.37626E-06,2.21844E-06
SDS-Vision,NOR,NOR,SAM,CHL,8.98446E-08,4.96088E-08,4.45716E-07,4.6958E-07,4.1812E-07,5.82745E-07,6.14026E-07,5.10048E-07
SDS-Vision,NOR,NOR,SAM,COL,,4.17825E-09,9.36892E-09,9.35992E-09,1.19187E-08,1.54299E-08,1.82928E-08,2.27547E-08
SDS-Vision,NOR,NOR,SAM,TTO,,,4.77683E-09,6.23226E-09,7.97113E-09,1.00419E-08,1.25758E-08,1.54706E-08
SDS-Vision,NOR,NOR,SAM,VEN,,4.09566E-09,8.44186E-09,8.25143E-09,9.31488E-09,1.21439E-08,1.43055E-08,1.62042E-08
SDS-Vision,NOR,NOR,EU,AUT,1.93674415,2.669431733,2.113469624,1.800018382,2.049710319,2.523305258,2.296397964,2.11976358
SDS-Vision,NOR,NOR,EU,BEL,5.25236675,5.204868016,5.218806113,5.617162966,5.832503149,6.311496163,7.229974439,8.023045436
SDS-Vision,NOR,NOR,EU,BGR,0.056872818,2.47312E-08,2.51982E-08,3.55267E-08,1.45563E-07,0.013610234,0.029368435,0.037096198
SDS-Vision,NOR,NOR,EU,CZE,1.778037578,2.646034707,2.110700984,1.554241266,1.672218725,2.038197135,1.742767874,1.473091275
SDS-Vision,NOR,NOR,EU,DEU,28.24898305,29.54984771,30.8361128,28.3787866,26.61455968,24.1501395,23.26044496,24.55072183
SDS-Vision,NOR,NOR,EU,DNK,0.581527672,0.560796284,0.579900613,0.746530251,0.81068366,0.870970932,0.797773213,0.563424454
SDS-Vision,NOR,NOR,EU,ESP,1.594406097,0.847753675,0.901987107,1.947534078,2.482544805,2.94868346,3.006871346,3.181033483
SDS-Vision,NOR,NOR,EU,EST,0.024343229,4.04291E-07,0.010392609,0.032778529,0.033457666,0.018877059,7.61752E-05,2.0133E-06
SDS-Vision,NOR,NOR,EU,FIN,,3.3209E-07,0.024743626,7.95623E-07,7.84161E-07,6.52041E-07,3.3508E-07,2.17274E-07
SDS-Vision,NOR,NOR,EU,FRA,13.15391272,12.34771484,11.34554759,11.08057401,10.83065955,10.89148554,9.978966,8.706553305
SDS-Vision,NOR,NOR,EU,GBR,22.99501838,19.38583067,15.41233402,12.3594419,11.66947101,11.97955701,10.17019679,10.42370488
SDS-Vision,NOR,NOR,EU,GRC,0.052492787,4.50397E-08,4.8081E-08,6.43115E-08,2.71531E-07,0.014559943,0.029802556,0.032572164
SDS-Vision,NOR,NOR,EU,HRV,0.153565095,0.229421785,0.09932097,0.146749938,0.155463532,0.171335232,0.183493641,0.20866754
SDS-Vision,NOR,NOR,EU,HUN,0.740346051,1.578001678,0.65939804,0.397502268,0.505463888,0.711713958,0.767966947,1.128301064
SDS-Vision,NOR,NOR,EU,IRL,1.720687996,1.398959078,1.125029038,0.935884981,0.784491191,0.651697742,0.512710124,0.511683322
SDS-Vision,NOR,NOR,EU,ITA,14.30372416,7.786035643,4.965645009,4.767348744,4.741053522,3.756713891,3.902929391,3.679779424
SDS-Vision,NOR,NOR,EU,LTU,0.086677526,1.98115E-06,0.060174014,0.101148325,0.064536083,0.020634851,2.20578E-06,8.46079E-07
SDS-Vision,NOR,NOR,EU,LVA,0.065296795,3.02315E-07,0.020600954,0.076944848,0.067248562,0.033776102,8.64578E-06,9.58559E-07
SDS-Vision,NOR,NOR,EU,NLD,9.93951557,9.825799174,8.571607771,8.09531377,8.15318407,8.536594471,8.411344624,8.736680465
SDS-Vision,NOR,NOR,EU,POL,2.723973571,3.22978701,2.110699972,1.519970034,0.740909678,0.240133764,1.9199E-06,6.6515E-07
SDS-Vision,NOR,NOR,EU,PRT,0.297729453,2.55969E-07,0.102145353,0.130855985,0.307881876,0.434828332,0.49418236,0.552770567
SDS-Vision,NOR,NOR,EU,ROM,0.18209309,1.93313E-08,1.97323E-08,2.88059E-08,1.14051E-07,0.034088968,0.070919984,0.08789112
SDS-Vision,NOR,NOR,EU,SVK,0.482295576,1.029596343,0.517558092,0.265968347,0.334326589,0.529312885,0.590126385,0.64606388
SDS-Vision,NOR,NOR,EU,SVN,0.195828456,0.249494769,0.110696588,0.135107593,0.137609954,0.15324009,0.190047274,0.24673726
SDS-Vision,NOR,NOR,EU,SWE,0.204996694,0.462495946,0.733793167,1.252011842,1.509982955,1.792669188,1.629537149,1.101239384
SDS-Vision,NOR,NOR,ROE,CHE,0.710557949,0.967110733,1.205589711,1.492412575,1.612094994,1.7476329,1.867444269,2.081162598
SDS-Vision,NOR,NOR,ROE,SRB,0.186099665,0.307591992,6.66078E-08,1.37441E-07,0.34019874,0.571591485,0.649594329,1.002383089
SDS-Vision,NOR,NOR,ROE,TUR,1.45439E-07,1.07762E-08,1.88441E-08,4.3624E-08,2.39098E-07,0.565808349,1.355907792,1.5934401
SDS-Vision,NOR,NOR,ROE,UKR,2.83865E-08,3.57505E-07,4.11624E-08,4.44442E-08,6.34569E-08,1.12015E-07,1.89385E-07,9.38529E-07
SDS-Vision,NOR,NOR,MEA,ARE,1.06158E-09,5.27624E-09,9.6069E-09,1.00483E-08,1.26379E-08,1.50467E-08,1.76122E-08,2.00547E-08
SDS-Vision,NOR,NOR,MEA,BHR,,7.95484E-10,8.61702E-09,9.64608E-09,1.24512E-08,1.49072E-08,1.90717E-08,2.03039E-08
SDS-Vision,NOR,NOR,MEA,ISR,,8.06635E-10,8.76933E-09,9.80949E-09,1.26328E-08,1.67349E-08,1.89994E-08,2.02725E-08
SDS-Vision,NOR,NOR,MEA,KWT,4.08348E-09,8.11611E-09,2.55776E-08,2.30005E-08,2.1981E-08,2.14789E-08,2.32711E-08,2.26417E-08
SDS-Vision,NOR,NOR,MEA,OMN,6.49058E-10,9.88069E-10,6.05596E-09,7.20695E-09,9.52938E-09,1.29888E-08,1.63004E-08,1.60543E-08
SDS-Vision,NOR,NOR,AFR,EGY,,6.93123E-09,1.59843E-08,1.26838E-08,1.61295E-08,2.02871E-08,2.62709E-08,2.7894E-08
SDS-Vision,NOR,NOR,ASP,BGD,,6.28655E-09,2.54708E-08,2.47482E-08,2.21794E-08,2.51446E-08,2.87298E-08,2.89024E-08
SDS-Vision,NOR,NOR,ASP,CHN,9.54073E-08,0.286889989,1.493584038,3.024281251,3.328208227,3.046431833,2.615744525,1.336656549
SDS-Vision,NOR,NOR,ASP,IDN,,7.6781E-10,6.90495E-09,8.71016E-09,1.10187E-08,1.45714E-08,1.47084E-08,1.70335E-08
