year,added_construction_mw,added_pre_construction_mw,added_announced_mw,total_added_mw,cumulative_added_gw,remaining_construction_mw,remaining_pre_construction_mw,remaining_announced_mw,remaining_total_mw,incremental_bcf_per_day_low,incremental_bcf_per_day_mid,incremental_bcf_per_day_high
2026,10135.0,0.0,0.0,10135.0,10.135,19865.0,159000.0,63000.0,241865.0,0.558255737704918,0.7599783992285438,1.0695992285438765
2027,10135.0,0.0,0.0,10135.0,20.27,9730.0,159000.0,63000.0,231730.0,1.116511475409836,1.5199567984570876,2.139198457087753
2028,9730.0,405.0,0.0,10135.0,30.405,0.0,158595.0,63000.0,221595.0,1.674767213114754,2.279935197685632,3.2087976856316294
2029,0.0,10135.0,0.0,10135.0,40.54,0.0,148460.0,63000.0,211460.0,2.233022950819672,3.0399135969141753,4.278396914175506
2030,0.0,10135.0,0.0,10135.0,50.675,0.0,138325.0,63000.0,201325.0,2.79127868852459,3.799891996142719,5.347996142719382
2031,0.0,10135.0,0.0,10135.0,60.81,0.0,128190.0,63000.0,191190.0,3.349534426229508,4.559870395371264,6.417595371263259
2032,0.0,10135.0,0.0,10135.0,70.945,0.0,118055.0,63000.0,181055.0,3.907790163934425,5.319848794599807,7.487194599807135
2033,0.0,10135.0,0.0,10135.0,81.08,0.0,107920.0,63000.0,170920.0,4.466045901639344,6.079827193828351,8.556793828351012
2034,0.0,10135.0,0.0,10135.0,91.215,0.0,97785.0,63000.0,160785.0,5.024301639344261,6.839805593056895,9.62639305689489
2035,0.0,10135.0,0.0,10135.0,101.35,0.0,87650.0,63000.0,150650.0,5.58255737704918,7.599783992285438,10.695992285438765
