scenario_id,model_id,output_key,native_region,unified_region,sector,value_label,value
infrastructure_collapse,pycge,sectoral_output_pct_change,,US,agriculture,output_pct_change,-0.1004
infrastructure_collapse,pycge,sectoral_output_pct_change,,US,industry,output_pct_change,-0.2097
infrastructure_collapse,pycge,sectoral_output_pct_change,,US,energy,output_pct_change,0.4217
infrastructure_collapse,pycge,sectoral_output_pct_change,,US,services,output_pct_change,-0.678
swift_contained,pycge,sectoral_output_pct_change,,US,agriculture,output_pct_change,-0.0157
swift_contained,pycge,sectoral_output_pct_change,,US,industry,output_pct_change,-0.0382
swift_contained,pycge,sectoral_output_pct_change,,US,energy,output_pct_change,0.0738
swift_contained,pycge,sectoral_output_pct_change,,US,services,output_pct_change,-0.125
prolonged_contained,pycge,sectoral_output_pct_change,,US,agriculture,output_pct_change,-0.0749
prolonged_contained,pycge,sectoral_output_pct_change,,US,industry,output_pct_change,-0.1845
prolonged_contained,pycge,sectoral_output_pct_change,,US,energy,output_pct_change,0.3511
prolonged_contained,pycge,sectoral_output_pct_change,,US,services,output_pct_change,-0.6058
swift_escalated,pycge,sectoral_output_pct_change,,US,agriculture,output_pct_change,-0.0728
swift_escalated,pycge,sectoral_output_pct_change,,US,industry,output_pct_change,-0.1787
swift_escalated,pycge,sectoral_output_pct_change,,US,energy,output_pct_change,0.342
swift_escalated,pycge,sectoral_output_pct_change,,US,services,output_pct_change,-0.586
prolonged_escalated,pycge,sectoral_output_pct_change,,US,agriculture,output_pct_change,-0.0985
prolonged_escalated,pycge,sectoral_output_pct_change,,US,industry,output_pct_change,-0.2391
prolonged_escalated,pycge,sectoral_output_pct_change,,US,energy,output_pct_change,0.4641
prolonged_escalated,pycge,sectoral_output_pct_change,,US,services,output_pct_change,-0.7806
