year,cumulative_gw,dc_capacity_gw,non_dc_capacity_gw,dc_effective_cf,non_dc_effective_cf,blended_bcf_per_day
2026,10.135,3.7499499999999997,6.38505,0.695,0.45,0.913071825650916
2027,20.27,7.499899999999999,12.7701,0.695,0.45,1.826143651301832
2028,30.405,11.24985,19.155150000000003,0.695,0.45,2.739215476952748
2029,40.54,14.999799999999999,25.5402,0.695,0.45,3.652287302603664
2030,50.675,18.74975,31.92525,0.695,0.45,4.56535912825458
2031,60.81,22.4997,38.310300000000005,0.695,0.45,5.478430953905496
2032,70.945,26.249649999999995,44.69535,0.695,0.45,6.391502779556411
2033,81.08,29.999599999999997,51.0804,0.695,0.45,7.304574605207328
2034,91.215,33.74955,57.465450000000004,0.695,0.45,8.217646430858245
2035,101.35,37.4995,63.8505,0.695,0.45,9.13071825650916
